epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.553,1.41537,15.6232,1.30051,0.23307,0.39405,0.23099,0.16872,1.21153,12.0525,1.08024,0.00332061,0.00332061,0.00332061
2,239.986,1.28333,11.397,1.22599,0.25814,0.35388,0.22463,0.1617,1.31308,12.4458,1.17713,0.00664077,0.00664077,0.00664077
3,360.009,1.38111,11.5581,1.26356,0.1771,0.27232,0.14067,0.08786,1.70247,15.9766,1.40408,0.00994773,0.00994773,0.00994773
4,478.599,1.58825,12.6894,1.36244,0.20386,0.31274,0.15593,0.10014,1.88653,14.901,1.5092,0.0099406,0.0099406,0.0099406
5,603.48,1.5697,12.2823,1.35015,0.20812,0.21212,0.14024,0.09235,1.6604,17.6544,1.35205,0.0099208,0.0099208,0.0099208
6,776.511,1.54111,11.8692,1.34345,0.291,0.32538,0.21081,0.14016,1.59654,12.589,1.32488,0.009901,0.009901,0.009901
7,896.862,1.50864,11.4167,1.32714,0.24794,0.35482,0.23168,0.16164,1.45111,12.6557,1.24598,0.0098812,0.0098812,0.0098812
8,1015.46,1.48602,11.0805,1.31087,0.21763,0.29389,0.17556,0.11576,1.57517,13.1141,1.32137,0.0098614,0.0098614,0.0098614
9,1139.48,1.4528,10.8308,1.30218,0.29339,0.29536,0.23504,0.16461,1.50532,11.697,1.28413,0.0098416,0.0098416,0.0098416
10,1257.94,1.4583,10.7032,1.30414,0.28466,0.26937,0.17624,0.12033,1.51893,13.5673,1.29487,0.0098218,0.0098218,0.0098218
11,1378.05,1.41362,10.3733,1.28561,0.25038,0.30311,0.1985,0.13257,1.67518,14.0304,1.40035,0.009802,0.009802,0.009802
12,1500.6,1.41506,10.3109,1.28008,0.33876,0.31794,0.2584,0.18311,1.42698,11.8315,1.22146,0.0097822,0.0097822,0.0097822
13,1619.88,1.39222,9.99088,1.27618,0.34225,0.34983,0.27242,0.19561,1.40588,10.9878,1.20657,0.0097624,0.0097624,0.0097624
14,1739.26,1.38255,9.86628,1.26639,0.35283,0.34765,0.27759,0.19491,1.46611,11.6714,1.24007,0.0097426,0.0097426,0.0097426
15,1857.68,1.35938,9.65629,1.25607,0.33939,0.34741,0.27599,0.19465,1.38084,10.8813,1.20311,0.0097228,0.0097228,0.0097228
16,1978.63,1.366,9.50921,1.25253,0.29827,0.37561,0.29878,0.22012,1.37381,10.4871,1.20405,0.009703,0.009703,0.009703
17,2098.59,1.35348,9.43951,1.25269,0.32563,0.42277,0.30273,0.2148,1.42246,10.9899,1.22025,0.0096832,0.0096832,0.0096832
18,2220.41,1.3503,9.24015,1.24154,0.33356,0.38559,0.31344,0.22063,1.42601,10.6231,1.22358,0.0096634,0.0096634,0.0096634
19,2341.74,1.32754,9.10226,1.23352,0.33236,0.40472,0.31123,0.22611,1.39086,10.5331,1.20671,0.0096436,0.0096436,0.0096436
20,2460.92,1.31684,9.02568,1.22999,0.36893,0.39514,0.31001,0.22013,1.3989,10.583,1.21795,0.0096238,0.0096238,0.0096238
21,2581.02,1.30881,8.81562,1.22499,0.32601,0.38318,0.28766,0.20824,1.39966,10.9388,1.20346,0.009604,0.009604,0.009604
22,2700.72,1.31068,8.76028,1.22377,0.29733,0.44131,0.2917,0.21015,1.3853,10.7378,1.19418,0.0095842,0.0095842,0.0095842
23,2820.33,1.29376,8.61973,1.2191,0.36798,0.42056,0.34364,0.24455,1.40483,10.2469,1.22032,0.0095644,0.0095644,0.0095644
24,2938.62,1.28719,8.56669,1.2192,0.41399,0.40873,0.34571,0.2525,1.34295,10.0468,1.17561,0.0095446,0.0095446,0.0095446
25,3058.56,1.27937,8.44217,1.20722,0.34877,0.392,0.31153,0.23137,1.33661,10.5599,1.18917,0.0095248,0.0095248,0.0095248
26,3177.64,1.27705,8.33173,1.20623,0.41577,0.381,0.32815,0.23802,1.35165,10.1772,1.18769,0.009505,0.009505,0.009505
27,3296.07,1.2673,8.27817,1.20134,0.40768,0.38241,0.34403,0.25536,1.31789,10.4812,1.15786,0.0094852,0.0094852,0.0094852
28,3415.34,1.25691,8.13007,1.19931,0.37955,0.4397,0.34491,0.25537,1.32265,10.4624,1.16145,0.0094654,0.0094654,0.0094654
